Customer ID,final_score,segment,priority,recommended_action,insight
43,2.9,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
44,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
45,3.0,Loyal Customer,Priority 3,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
46,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
47,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
48,2.7,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
49,2.4000000000000004,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
50,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
51,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
52,1.8000000000000003,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
53,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
54,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
55,4.1,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
56,1.2999999999999998,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
57,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
58,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
59,2.4000000000000004,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
60,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
61,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
62,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
63,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
64,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
65,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
66,2.0,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
67,2.9,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
68,2.0,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
69,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
70,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
71,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
72,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
73,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
74,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
75,2.1,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
76,2.5,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
77,2.0,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
78,2.7,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
79,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
80,3.8,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
81,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
82,3.8,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
83,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
84,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
85,2.0,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
86,3.1999999999999997,Frequent Low Value,Priority 2,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
87,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
88,3.0,Loyal Customer,Priority 3,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
89,2.0,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
90,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
91,2.0,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
92,3.2,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
93,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
94,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
95,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
96,3.8,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
97,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
98,3.1,Infrequent Premium,Priority 2,Re-engagement campaigns,This customer is classified as Infrequent Premium due to Low engagement and High Score value.
99,2.5,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
100,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
101,3.8,Loyal Customer,Priority 1,High-priority retention,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
102,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
103,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
104,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
105,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
106,2.5999999999999996,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
107,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
108,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
109,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
110,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
111,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
112,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
113,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
114,1.8000000000000003,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
115,3.1999999999999997,Frequent Low Value,Priority 2,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
116,3.8,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
117,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
118,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
119,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
120,3.1,Infrequent Premium,Priority 2,Re-engagement campaigns,This customer is classified as Infrequent Premium due to Low engagement and High Score value.
121,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
122,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
123,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
124,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
125,3.1,Infrequent Premium,Priority 2,Re-engagement campaigns,This customer is classified as Infrequent Premium due to Low engagement and High Score value.
126,2.7,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
127,2.0,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
128,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
129,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
130,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
131,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
132,1.9,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
133,3.0,Loyal Customer,Priority 3,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
134,2.5,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
135,3.5,Regular Customer,Priority 1,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
136,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
137,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
138,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
139,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
140,3.1999999999999997,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
141,1.9,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
142,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
143,2.7,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
144,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
145,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
146,3.5,Infrequent Premium,Priority 1,Re-engagement campaigns,This customer is classified as Infrequent Premium due to Low engagement and High Score value.
147,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
148,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
149,3.1,Infrequent Premium,Priority 2,Re-engagement campaigns,This customer is classified as Infrequent Premium due to Low engagement and High Score value.
150,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
151,3.2,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
152,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
153,3.1,Infrequent Premium,Priority 2,Re-engagement campaigns,This customer is classified as Infrequent Premium due to Low engagement and High Score value.
154,1.8000000000000003,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
155,2.9,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
156,2.5,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
157,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
158,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
159,3.4000000000000004,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
160,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
161,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
162,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
163,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
164,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
165,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
166,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
167,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
168,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
169,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
170,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
171,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
172,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
173,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
174,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
175,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
176,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
177,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
178,2.0,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
179,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
180,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
181,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
182,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
183,2.5999999999999996,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
184,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
185,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
186,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
187,2.1,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
188,3.1999999999999997,Frequent Low Value,Priority 2,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
189,2.4,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
190,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
191,3.1,Infrequent Premium,Priority 2,Re-engagement campaigns,This customer is classified as Infrequent Premium due to Low engagement and High Score value.
192,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
193,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
194,3.1999999999999997,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
195,2.9,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
196,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
197,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
198,3.4000000000000004,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
199,2.3,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
200,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
201,2.8000000000000003,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
202,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
203,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
204,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
205,4.1,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
206,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
207,2.4,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
208,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
209,1.7,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
210,3.8,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to Medium engagement and High Score value.
211,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
212,3.7,High Value Customer,Priority 1,VIP Treatment,This customer is classified as High Value Customer due to High engagement and High Score value.
213,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
214,2.9,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
215,2.4000000000000004,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Average Score value.
216,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
217,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
218,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
219,1.4000000000000001,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
220,2.8,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
221,3.0,Loyal Customer,Priority 3,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
222,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
223,3.5,Regular Customer,Priority 1,General Marketing,This customer is classified as Regular Customer due to High engagement and Average Score value.
224,1.7000000000000002,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Average Score value.
225,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
226,1.0,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
227,2.5,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
228,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
229,2.2,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Low engagement and Low Score value.
230,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
231,3.1,Infrequent Premium,Priority 2,Re-engagement campaigns,This customer is classified as Infrequent Premium due to Low engagement and High Score value.
232,1.3,Low Engagement,Priority 3,Re-engagement campaigns,This customer is classified as Low Engagement due to Medium engagement and Low Score value.
233,1.5999999999999999,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
234,3.1,Regular Customer,Priority 2,General Marketing,This customer is classified as Regular Customer due to Medium engagement and Above Average Score value.
235,2.0,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,This customer is classified as Frequent Low Value due to High engagement and Low Score value.
236,2.8,Regular Customer,Priority 3,General Marketing,This customer is classified as Regular Customer due to Low engagement and Above Average Score value.
237,3.4,Loyal Customer,Priority 2,Retention campaigns,This customer is classified as Loyal Customer due to High engagement and Above Average Score value.
